References,Vegetation,Local,Family,Specie,N(g kg-1),P(g kg-1),K(g kg-1),Ca(g kg-1),Mg(g kg-1),Fe(mg kg-1),Mn(mg kg-1),Zn(mg kg-1),Cu(mg kg-1),Al(mg kg-1)
"Silva, P.E.N. (1991)",mata,Monjolo,Calophyllaceae,Calophyllum brasiliense Cambess.,1.32,0.05,0.69,0.63,0.51,202,55,NA,NA,689
"Silva, P.E.N. (1991)",mata,Monjolo,Calophyllaceae,Calophyllum brasiliense Cambess.,1.05,0.06,1.23,0.29,0.45,86,27,NA,NA,302
"Silva, P.E.N. (1991)",mata,Monjolo,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,1.25,0.08,0.9,0.63,0.64,199,30,NA,NA,647
"Silva, P.E.N. (1991)",mata,Monjolo,Celastraceae,Cheiloclinium cognatum (Miers) A.C.Sm.,1.31,0.07,0.89,0.54,0.61,116,33,NA,NA,632
"Silva, P.E.N. (1991)",mata,Monjolo,Leguminosae,Copaifera langsdorffii Desf.,1.32,0.11,0.98,0.32,0.34,121,272,NA,NA,1369
"Silva, P.E.N. (1991)",mata,Monjolo,Leguminosae,Copaifera langsdorffii Desf.,1.05,0.11,0.62,0.73,0.53,114,220,NA,NA,736
"Silva, P.E.N. (1991)",mata,Monjolo,Lauraceae,Cryptocarya aschersoniana Mez,1.84,0.07,1.26,0.23,0.2,168,421,NA,NA,506
"Silva, P.E.N. (1991)",mata,Monjolo,Lauraceae,Cryptocarya aschersoniana Mez,0.79,0.07,1.29,0.25,0.19,169,489,NA,NA,844
"Silva, P.E.N. (1991)",mata,Monjolo,Sapotaceae,Chrysophyllum marginatum (Hook. & Arn.) Radlk.,1.32,0.08,1.11,0.53,0.52,122,32,NA,NA,657
"Silva, P.E.N. (1991)",mata,Monjolo,Sapindaceae,Cupania vernalis Cambess.,1.58,0.1,1.15,0.55,0.71,133,1077,NA,NA,1584
"Silva, P.E.N. (1991)",mata,Monjolo,Sapindaceae,Cupania vernalis Cambess.,1.32,0.07,1.63,0.29,0.47,159,355,NA,NA,660
"Silva, P.E.N. (1991)",mata,Monjolo,Icacinaceae,Emmotum nitens (Benth.) Miers,1.05,0.09,0.74,0.49,0.51,320,23,NA,NA,1306
"Silva, P.E.N. (1991)",mata,Monjolo,Icacinaceae,Emmotum nitens (Benth.) Miers,1.58,0.06,0.88,0.31,0.58,236,27,NA,NA,1019
"Silva, P.E.N. (1991)",mata,Monjolo,Myrtaceae,Gomidesia cf. lindeniana O.Berg,1.58,0.08,0.8,0.4,0.48,292,573,NA,NA,1058
"Silva, P.E.N. (1991)",mata,Monjolo,Annonaceae,Guatteria sellowiana Schltdl.,1.49,0.16,1.13,0.65,0.67,253,146,NA,NA,775
"Silva, P.E.N. (1991)",mata,Monjolo,Annonaceae,Guatteria sellowiana Schltdl.,1.4,0.05,0.95,0.5,0.53,114,140,NA,NA,1010
"Silva, P.E.N. (1991)",mata,Monjolo,Rubiaceae,Ixora brevifolia Benth.,1.84,0.05,0.55,0.58,0.4,199,220,NA,NA,23320
"Silva, P.E.N. (1991)",mata,Monjolo,Rubiaceae,Ixora brevifolia Benth.,1.35,0.05,0.6,0.63,0.56,124,176,NA,NA,28090
"Silva, P.E.N. (1991)",mata,Monjolo,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,1.31,0.09,0.67,0.24,0.31,167,49,NA,NA,821
"Silva, P.E.N. (1991)",mata,Monjolo,Chrysobalanaceae,Licania apetala (E.Mey.) Fritsch,1.05,0.08,0.69,0.27,0.39,129,41,NA,NA,752
"Silva, P.E.N. (1991)",mata,Monjolo,Euphorbiaceae,Maprounea guianensis Aubl.,1.05,0.06,0.53,0.23,0.3,106,82,NA,NA,579
"Silva, P.E.N. (1991)",mata,Monjolo,Celastraceae,Maytenus floribunda Reissek,1.58,0.08,1.09,0.08,0.14,72,62,NA,NA,609
"Silva, P.E.N. (1991)",mata,Monjolo,Celastraceae,Maytenus floribunda Reissek,1.05,0.07,0.72,0.19,0.27,127,130,NA,NA,430
"Silva, P.E.N. (1991)",mata,Monjolo,Melastomataceae,Miconia sellowiana Naudin,1.58,0.04,0.65,0.31,0.28,91,158,NA,NA,5603
"Silva, P.E.N. (1991)",mata,Monjolo,Melastomataceae,Miconia sellowiana Naudin,1.38,0.05,0.47,0.37,0.38,98,173,NA,NA,8829
"Silva, P.E.N. (1991)",mata,Monjolo,Lauraceae,Nectandra lanceolata Nees,1.18,0.08,0.98,0.38,0.47,270,205,NA,NA,1116
"Silva, P.E.N. (1991)",mata,Monjolo,Lauraceae,Nectandra lanceolata Nees,1.44,0.07,0.69,0.52,0.66,179,567,NA,NA,929
"Silva, P.E.N. (1991)",mata,Monjolo,Lauraceae,Ocotea spixiana (Nees) Mez,1.71,0.1,0.78,0.29,0.3,159,233,NA,NA,985
"Silva, P.E.N. (1991)",mata,Monjolo,Asteraceae,Piptocarpha macropoda (DC.) Baker,1.64,0.14,1.58,0.48,0.56,197,243,NA,NA,778
"Silva, P.E.N. (1991)",mata,Monjolo,Sapotaceae,Pouteria ramiflora (Mart.) Radlk.,1.45,0.08,0.58,0.16,0.25,129,120,NA,NA,530
"Silva, P.E.N. (1991)",mata,Monjolo,Sapotaceae,Pouteria ramiflora (Mart.) Radlk.,1.38,0.06,0.64,0.19,0.26,119,181,NA,NA,618
"Silva, P.E.N. (1991)",mata,Monjolo,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,1.63,0.09,0.7,0.39,0.33,223,55,NA,NA,883
"Silva, P.E.N. (1991)",mata,Monjolo,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,1.25,0.09,0.87,0.23,0.27,150,65,NA,NA,672
"Silva, P.E.N. (1991)",mata,Monjolo,Moraceae,Pseudolmedia laevigata Trécul,1.4,0.06,0.81,0.32,0.42,123,474,NA,NA,1288
"Silva, P.E.N. (1991)",mata,Monjolo,Moraceae,Pseudolmedia laevigata Trécul,1.38,0.06,1.17,0.39,0.46,114,356,NA,NA,495
"Silva, P.E.N. (1991)",mata,Monjolo,Anacardiaceae,Tapirira guianensis Aubl.,1.64,0.11,0.86,0.76,0.64,190,30,NA,NA,627
"Silva, P.E.N. (1991)",mata,Monjolo,Anacardiaceae,Tapirira guianensis Aubl.,1.18,0.3,0.58,0.65,0.73,222,33,NA,NA,664
